  01:51:10 PM IST   12/22/24  	 
  01:52:17 PM IST   12/22/24  	72 
  01:52:32 PM IST   12/22/24  	72 
  01:57:07 PM IST   12/22/24  	73 
  01:57:10 PM IST   12/22/24  	73 
  01:57:33 PM IST   12/22/24  	82 
  01:57:36 PM IST   12/22/24  	84 
  05:14:49 PM IST   12/22/24  	76 
  05:14:56 PM IST   12/22/24  	76 
  05:14:59 PM IST   12/22/24  	76 
  05:16:26 PM IST   12/22/24  	76 
  05:16:28 PM IST   12/22/24  	76 
  05:16:29 PM IST   12/22/24  	76 
  05:16:30 PM IST   12/22/24  	76 
  05:16:32 PM IST   12/22/24  	76 
  05:16:33 PM IST   12/22/24  	76 
  05:22:21 PM IST   12/22/24  	76 
  05:22:24 PM IST   12/22/24  	76 
  05:22:28 PM IST   12/22/24  	76 
  05:22:31 PM IST   12/22/24  	76 
  05:22:34 PM IST   12/22/24  	76 
  05:22:38 PM IST   12/22/24  	76 
  05:22:41 PM IST   12/22/24  	76 
  05:22:45 PM IST   12/22/24  	76 
  05:22:48 PM IST   12/22/24  	76 
  05:22:52 PM IST   12/22/24  	76 
  05:22:55 PM IST   12/22/24  	76 
  05:22:58 PM IST   12/22/24  	76 
  05:24:23 PM IST   12/22/24  	77 
  05:24:29 PM IST   12/22/24  	77 
  05:24:36 PM IST   12/22/24  	77 
  05:30:56 PM IST   12/22/24  	77 
  05:31:23 PM IST   12/22/24  	77 
